id,qid1,qid2,question1,question2,is_duplicate
98611,195702,195703,Will malayalee youths find this video funny?,What are some eye metaphors?,0
19543,38998,38999,Are we losing net neutrality to corporations?,Will we lose net neutrality?,0
162349,320964,320965,What will be the effect of possible war between India and Pakistan on Indian Stock market?,"What will be the disaster effect, if nuclear war breaks out between India and Pakistan?",1
401440,784209,784210,"Is there any way in Gmail to recall or delete the mail which is already sent, say before 1hr?","I blocked a guy on Gmail. After unblocking him from gmail, will I get the mails he sent me while I blocked him?",0
366227,716828,716829,How can I get inbound campaigns for my call center?,How could I find a campaign for my call center?,1
209087,412447,412448,Can I switch from software testings to software developer?,Should I move to testing from software development?,0
76459,151921,151922,"Is the literary magazine, ""The Atlantic"" socially/politically biased? If so, to what side (left or right) does it tilt?",Why are all New Yorker and Atlantic editors and writers Ivy League graduates?,0
300861,590876,4915,Can I find out who added a question in Quora?,Is it possible to see when a Quora question was asked and who asked it?,0
252001,496112,496113,What is the best way to learn and practice C programming?,What is the best way to start learning C language within a month?,1
282133,554591,554592,Why do some states not have a property tax?,What states have no property tax?,0
285132,560386,560387,What will be the future of pure manual testing employee?,Is manual testing dying?,0
237138,467145,467146,Is civil engineering better than mechanical engineering?,"Which is better, mechanical or civil engineering?",0
214828,423631,423632,Does news hour debates(times now) does find a solution to a problem?,I'm in a really bad situation now and it is going to be terrible. It is related to financial problems. How can I find a solution?,0
131675,260800,260801,How do you find a copy of the original blueprints for a house?,"My husband and I just bought our own house and while we live in it, we can't figure out what changes happened and when. Is there a way to get the original architectural plans of your house and then find out what modifications were made over the years?",0
31611,63011,63012,Which programming languages are common to develop in the area of gamification?,Who is the worst Director in the history of MNIT/MREC?,0
257452,506734,506735,How do you solve a math problem?,How do I solve this math problem?,0
98532,195546,195547,Does culture influence architecture?,How do cultures influence each other in America?,0
154477,305526,305527,How do you help someone cope with anxiety?,How do you cope with anxiety?,0
60805,120938,120939,Is Quora's engine biased against Donald Trump?,An honest question. Is Quora biased against Donald Trump and Pro Clinton?,1
252329,496754,496755,What is actual meaning of life?,What do you think is the ultimate meaning of life?,1
245207,482900,482901,How do I repair my relationship after I cheated?,How can you repair your relationship after you cheated?,0
101057,200523,200524,How do I work smarter instead of harder?,"How can I work smarter at office, not harder?",1
366736,717811,717812,How can I improve my communication skill and English proficiency?,How can we improve our English language skills?,1
25467,50792,50793,Why is Lipton's green tea helpful for losing weight?,How Green tea is useful for reducing fat?,1
247967,488276,488277,How should I start believing in myself?,How can I start believing in myself?,0
321709,631121,631122,What is the meaning of surgical strike?,What is the surgical strike?,1
116197,230337,230338,What is the most racist thing you've heard?,What's the most unintentionally racist thing you have ever said or done?,0
129857,257212,257213,How do you reset a laptop to its factory settings?,What are some ways to do a factory reset on a laptop?,1
366922,718173,718174,What are the best businesses to be started in Chennai right now?,What is the best business to start in india right now?,0
135433,268176,268177,"Where does Truecaller get its data? It doesn't seem to work for me, but if it did work, wouldn't that raise privacy concerns?",What is the basic concept behind the working of Truecaller?,0
36273,72275,72276,What is the best moment of your life so far?,What was that best moment of your life?,1
39732,79146,79147,Why do cats like to rub against people's legs?,Why does my cat bring dead birds and mice to me?,0
66585,132382,132383,How do I earn 5 dollars per day from internet?,How can I earn 1000000 dollars per year?,0
15268,30477,30478,"What is the nearest airport to Daytona Beach, and how do this cities tourist attractions compare to Billing's?","What is the nearest airport to Daytona Beach, and how do this cities tourist attractions compare to Helena's?",0
115898,229745,229746,How can I stop my dog from chewing my shoes?,How do I stop my Pit Bull/English Bulldog mix from biting my shoes?,1
106641,211507,211508,Why is still India a developing country?,Why india still known as a developing country?,1
260351,512360,512361,How much black money will the government get back after demonetization?,How much black money is recovered till now after demonetization?,1
297716,584772,584773,How do I get my first job on Upwork?,Why am I not getting any freelance jobs on Upwork?,0
144710,286372,286373,How do I extract article from webpages?,How do I to extract articles from webpages?,1
104267,206824,206825,"Twenty seconds of insane courage: How might a young man, feeling a strong attraction to a young woman on the street, meet her?",What is the best way to approach a woman walking in front of you?,0
14164,28276,28277,What does Fy16f mean in stock market?,What does mean stock market? How to be study of stock market?,0
261437,514451,514452,How can someone become a good DJ?,How can I become a good DJ like Hardwell?,1
398671,778939,553543,How do I resist checking my mobile notifications and social media every few minutes?,How often do you check social accounts for notifications?,0
278346,547245,547246,Is Doing a MBA degree in UK is wise option?,Why do startups need your service? Why can't they find deep pockets themselves?,0
318530,624986,624987,Does covering your head while sleeping cause brain damage?,Can sleeping on my stomach restrict blood flow to the brain and cause brain damage?,0
175021,345773,345774,What are the main cultural differences between the UK and the Republic of Ireland?,What are the cultural differences between the Republic of Ireland and the UK?,1
83182,165211,165212,What would Gendry do if Jon became king?,What would Sansa do if Jon became king?,0
178686,352957,352958,Which DSLR camera would be best for me?,What is the best basic DSLR camera and lens to buy for the beginners?,0
258607,508975,508976,Where did the posh English accent come from?,"How do you feel when you hear someone speak in Received Pronunciation, (posh british accent)?",0
139034,275231,275232,What is the longest roller coaster in the United Kingdom and how does it compare to the longest roller coaster in Canada?,What is the longest roller coaster in the United Kingdom and how does it compare to the longest roller coasters in other countries?,0
191530,378115,378116,What are the best affiliate networks in the UK?,What's the best Affiliate Network?,0
51038,101578,101579,I am I a confusion either to purse a MBA or to do a ME in my civil stream. What are the ways I can do either of these?,"I am confused regarding which branch to choose, either civil or mechanical for a BE course?",0
245501,483477,483478,Why is Hillary Clinton worse than Donald Trump?,Is Hillary Clinton wealthier than Donald Trump?,0
163114,322472,322473,How long would it take for someone to drown and die once they've hit the water and breathed in a lot of water? Giving that they cannot swim,How long does it take water to freeze?,0
188395,127595,371984,What are some good examples of counterintuitive behavior?,What is the significance of good behavior in a school?,0
130342,258166,258167,"Is this sentence correct, ""I am on my way to picking up my kid from school""?","""In many different ways."" Is the above sentence grammatically correct?",0
70461,140047,140048,Who are some good Indian bloggers to follow on Quora?,Why does Quora seem to have so many right wing nuts in India?,0
145701,288311,288312,What factor(s) determined the direction of hieroglyphic writing?,Which is the correct direction to write Japanese?,0
1008,2017,2018,"Is there some way to identify genuine JBL speakers, as fake JBL speakers are also sold in market?","I am planning to buy a portable Bluetooth speaker under 10k INR. I am confused between the JBL Flip 2, JBL Charge and JBL Pulse. Any reviews?",0
163289,322817,322818,How do I upvote a Reddit post?,How do I see my upvotes on Reddit?,0
5033,10060,10061,"Does the TV show ""Preacher"" have any nudity?",Does the Preacher TV show have nudity?,1
246500,485424,485425,Can I use Jio in iPhone 5s?,How do I get Jio sim for iPhone 5s?,1
127041,251684,251685,Do NBA teams have captains?,How many teams are in the NBA?,0
92249,183153,183154,Where can I get the best rates on cruises?,Where can I get the best price on a cruise?,1
360809,706454,706455,How do I find the right mentor?,Why is it so hard to find the right mentor?,0
312250,612889,612890,How do I study 7th grade?,I am in college studying the foundation of science. I really want to keep up my good grade. How do I do a study schedule?,0
210395,414999,415000,How do I read someone's WhatsApp messages without any access to their mobile phone?,My Samsung Galaxy J5 takes too long to charge. What is the problem?,0
152218,301101,301102,What you mean by wet and dry area in toilet?,"My nexus 5 got wet from a water bottle opened in my bag. By now it's dry, but won't open. What should I do?",0
214523,423034,423035,What is the difference between 16 Mbps broadband or 2 Mbps leased line?,Can weed induce depersonalization? How?,0
193495,381955,381956,What are the best careers for girls?,What is the best career for girls?,1
322725,328868,633081,What are the best settings in Photoshop to get a high-quality animated GIF in a small file size?,How can we make high-quality GIFs online?,0
163665,323556,323557,Which political party will win Punjab Assembly Elections 2017 and why?,Which party will win election in 2017 in punjab?,1
259874,511434,511435,Will Donald Trump or Hillary Clinton win the 2016 US presidential election?,What are Donald Trump's chances against Hillary Clinton in a general election?,1
26439,52724,52725,What is the latest version of c++?,What is the latest version for computer?,0
194900,384703,384704,"I want to create a search engine, where should I start?",If I want to create a search engine then what should I do?,1
9306,18585,18586,What are the greatest comebacks in history?,What are some of the greatest comebacks in U.S. election history?,0
391242,764726,764727,What is the difference projectile and relative motion using the vector components?,What is the difference between projectile and relative motion using the vector components?,1
96370,191291,191292,What are examples of Conspiracies Theories that turned out to be true?,Which is the most unlikely conspiracy theory which turned out to be true?,1
324017,635596,635597,What programs are used to make the first programming languages?,What programming language do you use to make another programming language?,0
390271,762869,762870,What does it mean to be a writer?,Who has more power: the writer or the reader? Who constructs meaning?,0
380784,744723,744724,What are some mind-blowing facts about Narendra Modi's security?,What are some mindblowing facts about Indian armed forces?,0
285473,561045,561046,How do you tell a friend she/he has a terrible body odour without hurting her/his feelings?,How do you tell a friend or colleague they they have body odor without offending them?,1
357837,700752,700753,What are examples of things made of porcelain?,What are some examples of things made out of metal?,0
160311,316970,316971,Is it true that the Bhagavad-Gita is introduced in the 5th grade in The Netherlands?,Is every line written in the Bhagavad Gita true?,0
331978,650979,650980,Why is Saltwater taffy candy imported in The Bahamas?,Why is Saltwater taffy candy imported in Laos?,1
122016,241794,241795,How do I stop my Labrador/Pug mix from humping my pillows?,How do I stop my Shepherd-Husky mix puppy from humping my furniture?,1
338467,663521,663522,What are the repercussions of 500 and 1000 rupee notes not being legal tender anymore?,How will the ban on Rs 500 and 1000 notes impact the Indian economy?,1
380402,743985,743986,Where can I get comprehensive written advice in Sydney for any property transaction?,Where can I get very smooth and uncomplicated assistance in Sydney for any property transaction?,1
144511,285980,126382,Which are the best hotels in Goa?,What are the best hotels to stay in Goa?,1
309247,607086,607087,Is it possible to get admitted in IIM's only through GATE?,How did you get into IIM?,0
233443,58020,459930,What is the little hole in airplane windows there for?,"How does the Dreamliner ""window dimming"" work? Will this be implemented in other airplanes?",0
164703,325585,325586,Which one is better: Samsung Galaxy s7 edge or iPhone 6s?,How is Samsung Galaxy S7 compared to iPhone 6s Plus?,1
317955,623878,623879,What is your New Year Resolution for 2017?,What Is your New year resolutions in 2017?,1
332818,652598,652599,What is the best approach to become better at C++?,What is the best way to start learning c++?,1
89061,176834,176835,What's your favorite thing to do? Why?,What's your favorite thing to do?,1
78377,155710,155711,What are the risks of smoking weed (ganja)? Does it cause cancer?,Does weed give you lung cancer?,1
315471,619090,619091,Is being over sensitive a bad thing due to the depth of thoughts?,What could be a unique topic for a year 11 biology project?,0
185343,366006,366007,What is fermi level?,What are Fermi levels?,1
336491,659717,659718,How do I actually lose weight?,What is the fastest possible way to lose weight?,1
314324,616882,616883,What is CUDA? How is it linked to NVIDIA? What does CUDA have to do with GPU?,What is OpenGL? How is linked to GPU? What are the differences between CUDA and OpenGL? Is it restricted to any particular graphics card family?,0
202150,398890,398891,How do you get rid of bees in the house?,How can I get rid of a bee nest in the house?,0
368744,197447,721656,HTML5 Mobile: Will Google prevail with respect to the WebM  H.264 Standards War?,Why is the native HTML5 audio tag not working with Angular.js?,0
329263,645729,645730,Can honey really fade acne scars?,Does honey fade scars?,1
47344,94262,94263,"Why doesn’t PM Narendra Modi attack Pakistan, even after the recent Uri attack in India?",How should India respond to Uri attacks?,0
199905,394506,394507,How do I start travelling?,How do I start the travel life?,1
247123,486631,486632,What's the best pun you can think of right now?,Can anyone think of a pun involving the word hemp?,0
11771,23502,23503,Where can I buy Victoria's Secret in India?,India: Do Indian girls wear Victoria's Secret underclothing?,0
134974,267275,267276,How can I really join into harvard?,How do I get accepted in Harvard?,1
51685,102856,102857,Can someone help me? First line: 2x+x^2+2y-y^2>_2xy+1 Second line: y^2-x^2=1/3. The question is what the answer to y/x is. The answer is 2,Why is Singapore lagging behind in FinTech?,0
194422,383764,383765,What is the best scooter to purchase in India?,What is the best scooter to buy in India?,1
151557,299799,299800,How do I jailbreak IOS 9.3.5?,How do I jailbreak iOS 9.2.1?,0
200129,394946,394947,"If you had 100 trillion dollars, what would you do?","If you had 100 billion dollars, what would you do?",1
98748,195973,195974,How do you charge a laptop without a charger?,Can I charge a NIMH battery without a charger?,0
368265,720742,720743,"If Germany didn't invade Soviet Union, could Germany have won the war? (World War 2)","If Hitler’s Germany hadn’t attacked the Soviet Union, would the Allies have won WW2?",1
29702,59212,59213,Why is cost per impression (CPM) better than cost per click (CPC)?,Has Admob stopped CPM ads? I have a WP app and I get 1000+ impressions per day but I see revenue only from clicks.,0
239901,472542,472543,How can I set the weather application showing the update on my Lumia glance screen (Lumia 640 XL)?,How was the Lumia 640 received when it was released?,0
154210,305004,305005,Which industries are covered under the Factories Act for maintaining the humidity register?,Why would any girl fall in love with me?,0
131880,261205,261206,"I am working in an Android issue and I got this error ""This version of the rendering library is more recent than your version of ADT plug-in, please update ADT plug-in""? What are some suggestions that would help me out with this issue?","I want to develop an android application. But don't know how to begin? I have all necessary development tools such as SDK, ADT PLUG IN for eclipse. I know c, c++, java and learning html. What are good site for the same except developer.android.com?",0
271972,534873,534874,How can I get rid of this problem?,How do I get rid of a problem?,0
350784,687200,687201,What is the function of neutrons in an atom?,How do you calculate the number of neutrons in an atom?,0
207937,410199,410200,What is the difference between research paper and research article?,What is the difference between research paper and research report?,0
242547,477717,477718,How do I deal with my Conservative parents?,How do you deal with conservative parents?,1
271359,533686,533687,What are some cute things beginner programmers do?,What are some tips for a beginner programmer who hits the learning wall often?,0
338052,662721,662722,Is it possible to change your eye color?,Is it possible to permanently change the color of the eye?,1
57806,115008,115009,Are spouses of international students with student visa in Spain allowed to work?,Are spouses of international students with student visa in Norway allowed to work?,0
321043,629830,629831,Which entrance exam I have to give for admission in top universities and colleges for PG courses?,What would Benjamin Franklin do if he were alive today?,0
299681,588603,588604,What is an easy piano song to play?,What is an easy jazz piano song?,0
402229,785731,474174,When was baseball created and how was it created? How did the sport affect the U.S.?,How was the modern baseball created?,1
31360,62512,62513,What is it like to work at a fast food restaurant?,How do I order food at fast food restaurants?,0
39557,78799,78800,Why is terrorism situation worse in France than other parts of Europe?,Are some parts of India better than others?,0
234542,462091,462092,How do you check the engine light in a 2007 Honda Accord?,How do you check the engine light in a 2006 Honda Accord?,0
254003,499998,499999,Could India and Pakistan go to war?,Why did India go to war with Pakistan in 1971?,0
384568,751972,751973,How do top brands influence and engage people?,How can I stop worrying about what other people think?,0
55585,110591,110592,What is the complete set of documents required to apply for a passport in india?,What are the documents required for Indian passport?,1
321258,630251,630252,A regular hexagon is inscribed into a circle. What is the length of the side of the hexagon if the radius of the circle is 12 cm?,) The biggest possible circle is inscribed in rectangle of length 16 cm and breadth 6 cm. Then the area of circle is?,0
381265,745639,745640,What would happen if Quora credits were suddenly reintroduced?,What would happen if Quora credits were suddenly abolished?,0
112491,223035,223036,How do you plan a retirement party?,How have you planned your retirement?,0
232130,457374,457375,What is the best event app?,How much does it cost to make an app for my business?,0
194040,383022,383023,What is your best argument for or against political correctness?,What are the main advantages of Political Correctness?,0
366223,716820,716821,Do you think Narendra Modi will get elected again?,Do you think Narendra Modi will get elected again? *Read further info before answering*,1
192712,380441,380442,Which engine operates at higher compression ratio?,Does the compression ratio vary with engine operation?,0
330528,648176,648177,What has modi done till now??,What has the Modi government achieved since coming to power?,0
